NSC,CID,SMILES
6926,221850,C1=CC=C(C=C1)NNC(=O)C(=O)NNC2=CC=CC=C2
7215,66799,CC1=CC(=C(C=C1N)N)CC2=C(C=C(C(=C2)C)N)N
7223,135422055,C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=C4C=CC(=CC4=C(C=C3O)S(=O)(=O)O)[N+](=O)[O-].[Na+]
7233,222032,C1=CC2=C(C=C1Br)C(=O)C3=CC=C4C5=CC=C6C7=C(C=CC(=C57)C8=C4C3=C2C=C8)C9=C(C6=O)C=C(C=C9)Br
7354,94902,C1=NC2=C(N1)C(=NC=N2)NN
7359,191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
404241,191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
7364,24466,CC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl
7365,164,C(CC(=O)C=[N+]=[N-])C(C(=O)O)N
7376,1550966,COC1=C(C=CC(=C1)C=C[N+](=O)[O-])O
7389,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O
7390,1550967,COC1=C(C=C(C=C1)C=C[N+](=O)[O-])OC
7420,222105,C1CCC(CC1)C2=C(C(=CC(=C2)Br)C(=O)N)O
7436,222114,CC(C)(C)C1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N
7519,457798,COC1CC2C3(CCN2CC4=C(C5=C(C=C43)OCO5)OC)C=C1.OCl(=O)(=O)=O
7521,222154,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
7525,222156,CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O
7529,3061,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O
7530,44891382,CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O
7532,407582,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CCC5C6=CC(=O)OC6)O)C)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O
7533,3879,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CC(C5(C4(CCC5C6=CC(=O)OC6)O)C)O)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O
7534,222160,CC(=O)OC1CC2(C(CCC3(C2(CCC3C4=COC(=O)C=C4)O)C)C5(C1=CC(CC5)O)C)O
7535,407583,CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CC(C5C6=CC(=O)OC6)O)O)C)C)O)OC7CC(C(C(O7)C)OC8CC(C(C(O8)C)OC9C(C(C(C(O9)CO)O)O)O)OC(=O)C)O
7606,204,C1(C(=O)NC(=O)N1)NC(=O)N
7757,5354364,CC1(C2CCC1(C(C2)OC(=O)C=CC3=CC=CC=C3)C)C
7801,407617,CC1=CC=C(C=C1)[N+]2=C3C=C(C(=CC3=NC4=C2C=C(C(=C4)C)N)C)NC5=CC=CC=C5
7811,73516,CN(C)C1=CC=C(C=C1)N=C2C=CC(=[N+](C)C)C=C2.[Cl-]
7813,24181324,CCN(CC)C1=CC2=C(C=C1C)N=C3C(=CC(=CC3=N)N)O2.Cl
7821,102162,CC[N+](=C1C=C2C(=NC3=C(O2)C=C(C=C3)N(C)C)C=C1C)CC.[Cl-]
7833,31420,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)N)N
7853,75281,CN1C=NC2=C1C(=NC(=N2)Cl)Cl
8101,892,C1(C(C(C(C(C1O)O)O)O)O)O
8117,54676860,C(C(C1C(=C(C(=O)O1)O)O)O)O
33832,54676860,C(C(C1C(=C(C(=O)O1)O)O)O)O
8120,4696,C1C=C2C(=CC(=O)O2)C(O1)O
32951,4696,C1C=C2C(=CC(=O)O2)C(O1)O
8174,3034162,C1=CC=C(C=C1)N=C(N)N=C(N)N.C1=CC=C2C(=C1)NC(=S)S2
8179,222304,C1=CC=C(C=C1)C2=NC(=NN2)NC(=O)N
