NSC,CID
121322,274963
121713,275098
121771,54610141
121848,5351989
121868,5381711
121879,24191452
121934,9556459
122023,5649
122060,275314
122131,275363
122226,5458234
122263,18386505
122291,275433
122415,5281628
122621,24191487
122656,275684
122657,275685
122750,5281885
122758,444795
122759,445354
122819,54610154
122822,5381768
122864,5369223
122870,29335
123032,275908
123111,27590
123115,275965
123127,32874
123138,275977
123139,275978
123140,275979
123147,275985
123383,5378518
123399,276142
123461,276171
123463,276175
123465,276179
123468,276185
123469,276187
123491,420441
123493,420442
123511,276206
123516,21144443
123528,420454
123529,420455
123794,5708670
123814,276243
123829,276258
123976,276293
123977,276294
123994,276306
124147,276389
124202,135431964
124232,276432
124463,3367
124499,276502
124664,54598975
124749,276608
124764,97458
124770,97461
124784,276623
124994,276685
125034,276707
125066,54608728
125176,11979458
125201,276767
125347,276876
125348,276877
125511,277027
125541,277056
125552,277067
125844,277241
125845,277243
125973,36314
126217,420691
126228,277387
126668,277714
126710,420759
126719,277743
126727,420763
126728,54612340
126765,158475
126771,277767
126849,277822
126933,277880
127128,278033
127130,278035
127140,278044
127157,278058
127159,278062
127328,49791547
127442,278143
127444,54600217
127445,73679
127471,420798
127571,6332663
127622,3438641
127627,278252
127680,278267
127687,278273
127712,278295
127716,16886
127752,24191777
127753,24191778
127754,24191779
127755,160202
127763,73490
127923,10248002
128177,278502
128184,24191814
128186,278507
128187,278509
128206,278524
128280,278572
128305,5351234
128403,79345
128571,278692
128578,12999180
128579,12999264
128580,420881
128635,278740
128687,278767
128832,135429854
128877,278923
128887,278929
128895,278937
128981,279002
129152,6449975
129185,446541
129220,279062
129266,279093
129408,88356
129409,26341
129414,3084192
129518,279214
129585,279245
129757,54608313
129790,31776
129794,279319
129922,279421
129925,279422
129943,30623
129957,279440
130227,279528
130279,135443893
130785,279596
130789,279600
130796,279605
130801,279609
130813,54612358
130830,279623
130862,5793739
130876,279612
131020,279748
131053,16414
131064,279782
131184,279886
131233,368963
131238,279924
131250,279936
131257,135545659
131258,135545660
131261,279947
131262,279948
131263,279949
131513,10672721
131530,9614301
131547,72341
131734,135431975
131888,5382055
131919,3317089
131943,763768
131977,3933957
132095,280453
132125,67235
132230,280491
132275,280518
132276,280520
132277,54606350
132279,280526
132313,31789
132483,421299
132492,280615
132493,280616
132791,441796
132868,6509056
133071,280859
133072,280861
133100,54598449
133115,1652
133118,280898
133119,280899
133479,281015
133497,281022
133729,135545670
133757,281172
133896,281255
134033,421455
134134,421463
134138,281356
134148,281365
134228,281443
134244,281451
134250,281457
134390,929712
134459,281604
134544,6279389
134664,5458263
134672,720870
134679,2569
134723,281830
134725,281832
134727,281834
134754,54604246
134755,54606480
134981,281957
135015,421508
135021,54610340
135036,281990
135037,5281373
135048,282001
