Sanger name	Sanger COSMIC ID	CCLE Label	CCLE name
MPP-89	908150	MPP89_PLEURA	MPP 89
PANC-08-13	925347	PANC0813_PANCREAS	Panc 08.13
MG-63	908131	MG63_BONE	MG-63
NCI-H23	905942	NCIH23_LUNG	NCI-H23
SW1088	909745	SW1088_CENTRAL_NERVOUS_SYSTEM	SW 1088
NCI-H1838	687807	NCIH1838_LUNG	NCI-H1838
BL-70	910707	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70
RCM-1	909263	RCM1_LARGE_INTESTINE	RCM-1
A101D	910921	A101D_SKIN	A101D
NCI-H1755	908475	NCIH1755_LUNG	NCI-H1755
NCI-H1693	687802	NCIH1693_LUNG	NCI-H1693
SW780	687457	SW780_URINARY_TRACT	SW 780
RKO	909698	RKO_LARGE_INTESTINE	RKO
MCF7	905946	MCF7_BREAST	MCF7
SK-LMS-1	909720	SKLMS1_SOFT_TISSUE	SK-LMS-1
HUTU-80	907073	HUTU80_SMALL_INTESTINE	HuTu 80
MEG-01	908126	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEG-01
ONS-76	909248	ONS76_CENTRAL_NERVOUS_SYSTEM	ONS-76
SNU-C1	910905	SNUC1_LARGE_INTESTINE	SNU-C1
SK-N-DZ	688086	SKNDZ_AUTONOMIC_GANGLIA	SK-N-DZ
DMS-114	687983	DMS114_LUNG	DMS 114
ST486	910906	ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ST486
OC-314	909257	OC314_OVARY	OC 314
MDA-MB-157	925338	MDAMB157_BREAST	MDA-MB-157
769-P	910922	769P_KIDNEY	769-P
786-0	905947	786O_KIDNEY	786-O
Caov-3	906825	CAOV3_OVARY	Caov-3
MOLT-4	905958	MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-4
NCI-H524	908483	NCIH524_LUNG	NCI-H524
NCI-H209	688013	NCIH209_LUNG	NCI-H209
MIA-PaCa-2	724870	MIAPACA2_PANCREAS	MIA PaCa-2
SBC-5	713880	SBC5_LUNG	SBC-5
IPC-298	907171	IPC298_SKIN	IPC-298
EFO-27	906852	EFO27_OVARY	EFO-27
A2780	906804	A2780_OVARY	A2780
IGROV-1	905968	IGROV1_OVARY	IGROV1
