"isoflupredone"	"CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO"
"4-(6-Chloro-2-methoxyacridin-9-ylamino)-2-(pyrrolidin-1-..."	"COc1ccc2nc3cc(Cl)ccc3c(Nc4ccc(O)c(CN5CCCC5)c4)c2c1"
"N-Benzyl-1-methyl-7-propan-2-yl-3,4,4a,9,10,10a-hexahydro-2H-phenanthren-1-amine;hydrochloride"	"CC(C)c1ccc2C3CCCC(C)(NCc4ccccc4)C3CCc2c1"
"ANTINEOPLASTIC-12650"	"Oc1ccc(cc1)N=Nc2ccc(cc2)[As](=O)(O)O"
"NCIMech_000116"	"Oc1c(Br)c(nc2ccccc12)c3ccccc3"
"4-[(6-Chloro-2-methoxyacridin-9-yl)amino]-5-methyl-2-propan-2-ylphenol"	"COc1ccc2nc3cc(Cl)ccc3c(Nc4cc(C(C)C)c(O)cc4C)c2c1"
""	"CCN(CC)CCCC(CNc1ccnc2cc(Cl)ccc12)c3ccc(Cl)cc3"
"TCMDC-142279"	"CCCCN(CCCC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O"
"l-trp"	"NC(Cc1c[nH]c2ccccc12)C(=O)O"
"nicota"	"NC(=O)c1cccnc1"
"J-501875"	"Oc1ccc(cc1)C(=O)\C=C\c2ccccc2Cl"
"AK-38589"	"Nc1nnc2cc(Cl)ccc2n1"
"NCI-13239"	"CCCCNc1c(CN)cnc2cc(Cl)ccc12"
""	"CCN1CCC(CC1)Nc2ccnc3cc(Cl)ccc23"
"5,6-Dimethoxy-N-(2-piperidin-2-ylethyl)quinolin-8-amine;hydroiodide"	"COc1cc(NCCC2CCCCN2)c3ncccc3c1OC"
""	"CCN(CC)CCC(CNc1ccnc2cc(Cl)ccc12)c3ccc(OC)cc3"
""	"COc1cc(NC(C)CCCNC(C)C)c2ncccc2c1OC"
"(2-(4-chlorophenyl)quinolin-4-yl)(piperidin-2-yl)methanol"	"OC(C1CCCCN1)c2cc(nc3ccccc23)c4ccc(Cl)cc4"
""	"COc1cc(NCCC2CCCCN2)c3ncccc3c1"
"2-(6-Methoxy-2-methylquinolin-4-ylthio)benzo[d]thiazole"	"COc1ccc2nc(C)cc(Sc3nc4ccccc4s3)c2c1"
"Triamcinolone"	"C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO"
"4-N-(7-Chloro-3-phenylquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine;hydroiodide"	"CCN(CC)CCCC(C)Nc1c(cnc2cc(Cl)ccc12)c3ccccc3"
""	"OC(C1CCCCN1)c2cc(nc3c2ccc4ccccc34)c5ccccc5"
"A821143"	"CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)c(SCc3ccccc3)cc12"
"1-N,1-N-Diethyl-4-N-(7-methoxy-2-phenylquinolin-4-yl)pentane-1,4-diamine"	"CCN(CC)CCCC(C)Nc1cc(nc2cc(OC)ccc12)c3ccccc3"
