"","SMILES"
"5192","O=C1C(=O)c2c(ccc3ccccc23)c4ccccc14"
"5200","NC1=NC(=O)C(=C(N)N1)N=Nc2ccccc2"
"5206","CCCCCCCCCCCC1N=C(N)N=C(N)N1c2cccc(Br)c2"
"5278","[O-][N+](=O)c1cc(Cl)c(Cl)c(c1Cl)[N+](=O)[O-]"
"5283","CC[Sn](Cl)(CC)CC"
"5332","Oc1ccc2ccccc2c1N=Nc3ccccn3"
"5337","CCCCCCCCCCCC[n+]1ccccc1.Clc2ccc3SC(=S)[N-]c3c2"
"5347","OC(=O)CSc1ccccc1C(=O)O"
"5355","COc1ccc2cc3c4cc5OCOc5cc4CC[n+]3cc2c1OC"
"5364","OC(C1CC2CCN1CC2C=C)c3ccnc4ccccc34"
"5366","COc1ccc2[C@H](OC(=O)c2c1OC)[C@@H]3N(C)CCc4cc5OCOc5c(OC)c34"
"5417","Oc1ccc(N=O)c2ccccc12"
"5418","CCN(CC)c1ccc(cc1)N=O"
"5425","[O-][N+](=O)c1ccc2c(c1)C(=O)C(=O)c3ccccc23"
"5485","OC(CNc1ccnc2cc(Cl)ccc12)CNc3ccnc4cc(Cl)ccc34"
"5491","CCN1C=C\C(=C/c2ccc3ccccc3[n+]2CC)\c4ccccc14"
"5550","CN(C)c1ccc(cc1)C(=C2C=CC(=[N+](C)C)C=C2)c3ccccc3.CN(C)c4ccc(cc4)C(=C5C=CC(=[N+](C)C)C=C5)c6ccccc6.OC(=O)C(=O)O.[O-]C(=O)C(=O)[O-]"
"5551","CN(C)c1ccc(\C=C\c2sc3ccc4ccccc4c3[n+]2C)cc1"
"5620","OC(=O)CC1(CC(=O)O)Nc2ccccc2SC1=O"
"5639","O=C(c1ccccc1)c2ccccc2c3ccccc3"
"5648","CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c2ncccn2"
"5703","COc1cc(cc(OC)c1OC)c2nccc3cc4OCOc4cc23"
"5705","COC(=O)c1cc(O)c2cc3OCOc3cc2c1c4cc(OC)c(OC)c(OC)c4"
"5816","Clc1ccc(NC(=S)NC(=O)c2ccccc2)cc1"
"5889","CC(=O)C1C(=O)C=C2Oc3c(C(=O)C)c(O)c(C)c(O)c3C2(C)C1=O"
"5890","CC(=O)C1C(=O)C=C2Oc3c(C(=O)C)c(O)c(C)c(O)c3C2(C)C1=O"
"5896","COc1cc(N=Nc2ccc(O)c3ncccc23)c4ncccc4c1"
"5907","COc1ccc2nccc(\C=C\c3ccnc4ccc(OC)cc34)c2c1"
"5908","COc1ccc2N(CCCc2c1)c3c4ccccc4nc5ccccc35"
"5920","COc1cc(N=Nc2cc(Cc3ccc(cc3)N(C)C)c(N)cc2N(C)C)c4ncccc4c1"
"6145","O=C(c1ccccc1)c2ccccc2C(=O)c3ccccc3"
"6152","Cc1cc(O)c2cc3c(O)c(O)ccc3cc2c1"
"6171","CC12CCC(CC1)C(C)(C)O2"
"6176","O[C@H]([C@H]1C[C@@H]2CCN1C[C@@H]2C=C)c3ccnc4ccccc34"
"6266","O=C(CC(=O)c1ccccc1)c2ccccc2"
"6278","Nc1nc2c(ccc3ccccc23)s1"
"6386","CCN(CC)Cc1cc(cc(CC=C)c1O)c2cc(CC=C)c(O)c(CN(CC)CC)c2"
"6396","S=P(N1CC1)(N2CC2)N3CC3"
"6477","CCOC(=O)\C=C\c1oc(cc1)[N+](=O)[O-]"
"6777","[O-][N+](=O)c1cc(Br)cc2c3cc(Br)ccc3[nH]c12"
"6814","CCCCCCCC\C=C/CCCCCCCCCCCC(=O)O"
"6883","[O-][N+](=O)c1cccc(Oc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])c1"
"6891","Clc1ccc(cc1Cl)C(=O)Nc2ccc(Br)cc2"
"6926","O=C(NNc1ccccc1)C(=O)NNc2ccccc2"
"7215","Cc1cc(Cc2cc(C)c(N)cc2N)c(N)cc1N"
"7223","[Na+].Oc1cc(c2cc(ccc2c1N=Nc3ccc4ccccc4c3O)[N+](=O)[O-])S(=O)(=O)O"
"7233","Brc1ccc2c(c1)C(=O)c3ccc4c5ccc6C(=O)c7cc(Br)ccc7c8ccc(c9ccc2c3c49)c5c68"
"7354","N\N=C\1/N=CNc2nc[nH]c12"
"7359","Nc1ncnc2c1ncn2C3OC(CO)C(O)C3O"
"7364","Cc1nc(N)nc(N)c1c2ccc(Cl)c(Cl)c2"
"7365","NC(CCC(=O)C=[N+]=[N-])C(=O)O"
"7376","COc1cc(\C=C\[N+](=O)[O-])ccc1O"
"7389","O=C1C(=O)c2ccccc2c3ccccc13"
"7390","COc1ccc(\C=C\[N+](=O)[O-])cc1OC"
"7420","NC(=O)c1cc(Br)cc(C2CCCCC2)c1O"
"7436","CC(C)(C)c1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1"
"7519","COC1CC2N3CCC2(C=C1)c4cc5OCOc5c(OC)c4C3"
"7521","CC1OC(O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)C(O)C(O)C1O"
"7525","CC1OC(O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CCC3=C2)C6=COC(=O)C=C6)C(O)C(OC7OC(CO)C(O)C(O)C7O)C1O"
"7529","CC1OC(CC(O)C1O)OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC7(C)C(CCC67O)C8=CC(=O)OC8)C4)OC3C)OC2C"
"7530","COC1CC(O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=CC(=O)OC6)OC(C)C1OC7OC(COC8OC(CO)C(O)C(O)C8O)C(O)C(O)C7O"
"7532","CC1OC(CC(O)C1OC2CC(O)C(OC3CC(OC(=O)C)C(OC4OC(CO)C(O)C(O)C4O)C(C)O3)C(C)O2)OC5CCC6(C)C(CCC7C6CCC8(C)C(CCC78O)C9=CC(=O)OC9)C5"
"7533","CC1OC(CC(O)C1OC2CC(O)C(OC3CC(OC(=O)C)C(OC4OC(CO)C(O)C(O)C4O)C(C)O3)C(C)O2)OC5CCC6(C)C(CCC7C6CC(O)C8(C)C(CCC78O)C9=CC(=O)OC9)C5"
"7534","CC(=O)OC1CC2(O)C(CCC3(C)C(CCC23O)C4=COC(=O)C=C4)C5(C)CCC(O)C=C15"
"7535","CC1OC(CC(O)C1OC2CC(O)C(OC3CC(OC(=O)C)C(OC4OC(CO)C(O)C(O)C4O)C(C)O3)C(C)O2)OC5CCC6(C)C(CCC7C6CCC8(C)C(C(O)CC78O)C9=CC(=O)OC9)C5"
"7606","NC(=O)NC1NC(=O)NC1=O"
"7757","CC1(C)[C@@H]2CC[C@]1(C)[C@@H](C2)OC(=O)\C=C\c3ccccc3"
"7801","Cc1ccc(cc1)[n+]2c3cc(N)c(C)cc3nc4cc(C)c(Nc5ccccc5)cc24"
"7811","CN(C)c1ccc(cc1)N=C2C=CC(=[N+](C)C)C=C2"
"7813","CCN(CC)c1cc2OC3=CC(=N)C=C(N)C3=Nc2cc1C"
"7821","CCN(CC)c1cc2[o+]c3cc(ccc3nc2cc1C)N(C)C"
"7833","Nc1ccc(N)c2C(=O)c3ccccc3C(=O)c12"
"7853","Cn1cnc2nc(Cl)nc(Cl)c12"
"8101","OC1C(O)C(O)C(O)C(O)C1O"
"8117","OCC(O)C1OC(=O)C(=C1O)O"
"8120","OC1OCC=C2OC(=O)C=C12"
"8174","NC(=N)NC(=N)Nc1ccccc1.S=C2Nc3ccccc3S2"
"8179","NC(=O)Nc1n[nH]c(n1)c2ccccc2"
"8360","CCN(CC)CCCC(Nc1c2ccc(Cl)cc2nc3ccc(OC)cc13)c4ccc(F)cc4"
"8552","Clc1cc2ccccc2c3ccccc13"
"8643","CN(C)c1ccc2nc3c(cc(O)c(O)c3[o+]c2c1)C(=O)N"
"8672","CCNc1ccc(cc1)C(=C2C=CC(=N)C=C2)c3ccc(N(CC)CC)c(C)c3"
"8673","CN(C)c1ccc(cc1C)C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)[N+](C)(C)C"
"8675","CCN(CC)c1ccc(cc1)C(=C2C=CC(=[N+](CC)CC)C=C2)c3ccc(cc3)N(CC)CC"
"8704","Oc1c(I)cc(I)c2cccnc12"
"8786","CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C"
"8806","N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(=O)O"
"8974","Brc1ccc([I+]c2ccc(Br)cc2)cc1"
"8982","[I+](c1ccccc1)c2ccccc2"
"8985","Cc1ccc([I+]c2ccc(C)cc2)cc1"
"8994","CC(C)(C)c1ccc([I+]c2ccc(cc2)C(C)(C)C)cc1"
"8995","Oc1ccc2ccccc2c1N=Nc3ccc(cc3)N=Nc4ccccc4"
"9037","OC1=CC2=C(c3ccccc3O)c4cc(O)c(O)cc4OC2=CC1=O"
"9168","COC1C(CCC2(CO2)C1C3(C)OC3CC=C(C)C)OC(=O)\C=C\C=C\C=C\C=C/C(=O)O"
"9170","COc1cc2CC[C@H](N)C3=CC(=O)C(=CC=C3c2c(OC)c1OC)SC"
"9291","CN(C)c1ccc2nc3c(ccc4ccccc34)[o+]c2c1"
"9358","CN(C)c1ccc(cc1)N=Nc2ccccn2"
"9403","CN(C)c1ccc2nc3ccc(N(C)C)c(c3[s+]c2c1)[N+](=O)[O-]"
"9404","CN(C)c1ccc2nc3ccc(N)cc3[n+](c4ccccc4)c2c1"
"9594","CN(C)c1ccc2nc3ccc(N)cc3[n+](c4ccccc4)c2c1"
"9598","CNc1ccc2nc3ccc(cc3[s+]c2c1)N(C)C"
"9605","CCNc1cc2[s+]c3cc(NCC)c(C)cc3nc2cc1C"
"9608","OC(=O)c1ccc2C(=O)c3ccccc3C(=O)c2c1c4ccc5ccccc5c4"
"9609","Cc1cc(ccc1N=Nc2cccc(c2)[N+](C)(C)C)N=Nc3c(O)ccc4ccccc34"
"9610","CCN(CC)c1ccc2nc3ccc(cc3[n+](c4ccccc4)c2c1)\N=N\c5ccc(O)cc5"
"9612","CCN(CC)c1ccc2nc3c(cc(NCc4ccccc4)c5ccccc35)[o+]c2c1"
"9665","CO[C@@H]1[C@H](O)CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3CC=C(C)C"
"9667","CCCCCCCCCCCCS(=O)(=O)[O-].CCCCCCCCc1ccc(OCCOCC[N+](C)(C)CC)cc1"
"9704","CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"
"9706","C1CN1c2nc(nc(n2)N3CC3)N4CC4"
"9768","Oc1ccc(Cl)cc1Cc2cc(Cl)cc(Cl)c2O"
"9771","CCCC(C)c1cc(Cc2cc(Cl)cc(Cl)c2O)c(O)c(Cc3cc(Cl)cc(Cl)c3O)c1"
"9853","[Na+].Oc1ccc2ccccc2c1N=Nc3ccc(cc3)S(=O)(=O)O"
"9855","Nc1ccc2nc3ccc(N)cc3[n+](c4ccccc4)c2c1"
"9856","CCCCCCCC\C=C/CCCCCCCC(=O)O"
"9858","CC1=CC(=C(c2ccc(N)c(C)c2)c3ccc(N)c(C)c3)C=CC1=N"
"9921","NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1"
"9936","CC(C)c1ccc(\C=N\NC(=S)N)cc1"
"9951","CCCCCCCCCC[N+](C)(C)C"
"10010","COc1ccc2nc(C)cc(NCCCCCCCCCNc3cc(C)nc4ccc(OC)cc34)c2c1"
"10018","CCCCCCCCCCCCn1c(C)nc2ccccc12"
"10036","CCN(CC)CCC(CNc1ccnc2cc(Cl)ccc12)c3ccc(Cl)cc3"
"10037","CCN(CC)CCC(CNc1ccnc2cc(Cl)ccc12)c3ccccc3"
"10438","Oc1ccc2c(OC3=CC(=O)C=CC3=[N+]2[O-])c1"
"10460","Nc1ccc(cc1)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3"
"10466","Cc1cc(ccc1N)C(=C2C=CC(=N)C=C2)c3ccc(N)cc3"
"10483","C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23"
"10492","CCN(CC)CCCC(CNc1ccnc2cc(Cl)ccc12)c3ccc(Cl)cc3"
"10517","CN(C)c1ccc(\C=C\c2cccc[n+]2C)cc1"
"10520","C[n+]1c(\C=C\c2ccc(Cl)cc2)ccc3ccccc13"
"10526","CN(C)c1ccc(\C=C\c2sc3ccccc3[n+]2C)cc1"
"10534","C[N+]1=C(\C=C\C=C\c2ccccc2)C(C)(C)c3ccccc13"
"10535","CN(C)c1ccc(\C=C\C2=[N+](C)c3ccccc3C2(C)C)cc1"
"10587","CCCCN(CCCC)CC(C)(C)C(O)c1ccc(OC)c2ccccc12"
"10594","CCN(CC)CCC(CNc1c2ccc(cc2nc3cc(OC)c(OC)cc13)[N+](=O)[O-])c4ccccc4"
"10641","CCCCCN(CCCCC)CC(O)c1cc(Cl)ccc1OC"
"10660","CCCCCN(CCCCC)CC(O)c1ccc(Cl)c2ccccc12"
"10667","CCCCN(CCCC)c1ccc2nc3c(C)cc(cc3[s+]c2c1)N(CC)CC"
"10721","C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)COC(=O)CCC5CCCC5)[C@@]4(C)C[C@H](O)[C@H]23"
"10848","Oc1cccc2c3OC(=O)C4=C(CCCC4)c3ccc12"
"11051","CCCCN(CCCC)CCCCNc1c(C)cnc2cc(Cl)ccc12"
"11216","Oc1ccc(cc1)N=C2C=C(Br)C(=O)C(=C2)Br"
"11225","CN(C)c1ccc2nc3cc(C)c(N)cc3[s+]c2c1"
"11232","COc1ccccc1N=Nc2c(O)ccc3ccccc23"
"11235","CN(C)c1ccc(cc1)c2sc3cc(C)ccc3[n+]2C"
"11240","CCNc1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c3ccc(cc3)N(C)C)c4ccccc14"
"11241","[Cl-].[Cl-].Nc1cc2c(nc3c4ccccc4ccc3[n+]2c5cccc6ccccc56)c7ccccc17.Nc8cc9c(nc%10c%11ccccc%11c(N)cc%10[n+]9c%12cccc%13ccccc%12%13)c%14ccccc8%14"
"11420","CCCCCN(CCCCC)CC(C)(C)C(O)c1ccc(OC)c2ccccc12"
"11452","O=[As]c1ccc(cc1)S(=O)(=O)Nc2ccccc2"
"11461","CN(C)C(=S)Sc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]"
"11511","CC1C(=O)C(=C(c2ccccc2)C1(O)c3ccccc3)C"
"11590","OCCNc1ncnc2nc[nH]c12"
"11624","Cn1ncc2c(Sc3ccc(Cl)cc3)ncnc12"
