"","PUBCHEM_ID"
"58634",246056
"58903",44825805
"58904",NA
"58905",246230
"58906",246231
"58924",246248
"59220",54609809
"59267",246331
"59270",NA
"59275",5351838
"59276",NA
"59413",5351839
"59450",NA
"59620",246496
"59684",159628
"59687",NA
"59729",NA
"59814",31315
"59937",246624
"59984",5356520
"59994",246657
"59996",5375979
"60043",246676
"60044",24187152
"60064",246693
"60288",246779
"60387",246845
"60785",NA
"60898",247104
"61297",247165
"61586",NA
"61711",247304
"61747",5351841
"61772",247339
"61805",5944
"61837",NA
"61900",NA
"62343",NA
"62372",247525
"62485",NA
"62586",247616
"62709",247673
"62752",247696
"62791",NA
"62857",NA
"62914",NA
"63357",247901
"63549",NA
"63629",247946
"63701",NA
"63786",135400404
"63839",NA
"63878",NA
"63984",NA
"64087",NA
"64111",NA
"64342",248061
"64692",NA
"64703",248139
"64798",6405305
"64821",NA
"64875",NA
"64945",6184681
"65022",135460243
"65104",NA
"65238",248381
"65239",7648
"65346",NA
"65381",NA
"65537",248466
"65601",5372879
"65628",5291187
"65814",9561622
"65860",415011
"65921",248608
"66020",64983
"66211",248767
"66214",67354
"66230",248781
"66259",NA
"66301",5356780
"66323",24187598
"66366",248852
"66380",5351860
"66457",248894
"66543",248909
"66902",249007
"66914",249012
"66917",249015
"66933",249018
"67015",NA
"67025",NA
"67041",5356823
"67090",135460261
"67091",135422273
"67118",249134
"67209",96324
"67239",NA
"67477",54608243
"67478",54603621
"67480",54599910
"67574",249332
"67580",72815
"67586",135422275
"67588",54706004
"67601",23406
"67603",249349
"67714",NA
"67774",249442
"67798",249454
"67799",249455
"67817",NA
"67925",54609874
"68075",21470
"68088",54599426
"68091",NA
"68092",22875
"68093",415267
"68154",54602470
"68155",54606037
"68294",NA
"68558",135460273
"68989",250002
"69049",9561703
"69187",72512
"69294",250204
"69413",54601314
"69509",21144271
"69573",250319
"69575",250321
"69577",NA
"69600",5377590
"69603",5929717
"69604",NA
"69608",580739
"69811",NA
"69830",NA
"69852",NA
"69856",NA
"69911",9561735
"69917",9561739
"69945",96355
"70092",498063
"70194",250607
"70555",250781
"70568",54599069
"70660",NA
"70811",139450
"70845",NA
"70874",135460287
"70929",98033
"70931",122724
"70933",5357113
"71090",251019
"71097",40491342
"71261",NA
"71300",251112
"71302",251114
"71381",96378
"71423",11683
"71426",251176
"71536",77265
"71669",415629
"71677",251355
"71717",9561770
"71795",3213
"71850",251458
"71851",NA
"71935",NA
"71948",415676
"72055",19021065
"72115",NA
"72151",251586
"72234",NA
"72254",251630
"72274",NA
"72533",NA
"72564",251786
"72862",NA
"72881",135460295
"72914",5351875
"72917",NA
"72939",NA
"72942",NA
"72961",NA
"73013",69845
"73019",251946
"73048",NA
"73101",252008
"73109",NA
"73233",4882
"73241",135435713
"73287",81079
"73300",252101
"73306",NA
"73346",252116
"73396",70418
"73411",38475
"73413",NA
"73495",415844
"73705",96425
"73735",72571
"73754",13268
"74199",252368
"74437",98074
"74663",252586
"74702",5351878
"74859",252682
"74947",NA
"75140",3246283
"75382",NA
"75520",NA
"75603",NA
"75627",253131
"75747",3246285
"75782",NA
"75890",8515
"75957",135534342
"76023",5351594
"76064",253302
"76150",NA
"76175",5357374
"76351",253426
"76356",NA
"76387",NA
"76411",NA
"76455",NA
"76518",253519
"76519",4351018
"76523",253522
"76627",5351598
"76751",NA
"76779",NA
"76808",NA
"76885",NA
"76919",253712
"76937",253728
"76952",4019652
"76955",3521514
"76991",5357424
"77007",253773
"77021",101859
"77038",NA
"77039",24188551
"77140",197738
"77141",11797662
"77213",9703
"77471",NA
"77495",4208664
"77502",4642645
"77541",20071791
"77556",5035970
"77643",24188580
"77809",19921723
"77810",21144314
"77830",11870
"77950",NA
"78015",254174
"78018",24188629
"78206",NA
"78298",254234
"78312",5254146
"78325",54605975
"78365",254258
"78508",96530
"78572",NA
"78627",21144325
"78629",20245316
"78634",254343
"78714",NA
"79037",NA
"79093",NA
"79139",5936795
"79140",5937681
"79250",254720
"79304",254760
"79456",186171
"79459",186169
"79543",135534376
"79563",254860
"79606",254882
"79687",9615407
"79688",5351196
"79741",135479135
"80103",NA
"80111",254980
"80126",254983
"80141",254996
"80186",17534
"80396",96570
"80465",NA
"80466",24188900
"80467",NA
"80469",54605678
"80734",255329
"80735",255330
"80756",5351198
"80870",NA
"80948",NA
"80997",255437
"80998",NA
"81048",255470
"81052",494043
"81206",54604163
"81260",4421615
"81274",255605
"81280",NA
"81303",255622
"81403",255700
"81465",54609597
"81517",255766
"81540",416751
"81747",255831
"81767",6282616
"81947",NA
"82013",NA
"82025",255922
"82028",255923
"82029",45953
"82109",54609598
"82116",NA
"82133",6237
"82151",NA
"82219",NA
"82260",NA
"82274",256046
"82339",96625
"82489",9561873
"82587",9568284
"82655",24189043
"82802",256248
"82803",256249
"82892",4348193
"83014",256296
"83066",NA
"83110",256330
"83142",NA
"83193",107404
"83216",5459315
"83217",19790
"83219",NA
"83223",NA
"83224",3246302
"83233",74424
"83265",NA
"83279",256420
"83281",256422
"83292",256427
"83300",256431
"83318",256444
"83321",256447
"83327",256452
"83340",NA
"83343",9568291
"83459",256526
"83492",256556
"83502",256566
"83606",256608
"83628",416926
"83633",NA
"83715",256661
"83950",NA
"84033",256729
"84061",24189128
"84063",NA
"84064",24189130
"84069",3048782
"84073",NA
"84074",2723862
"84086",256750
"84092",256754
"84093",256755
"84094",256756
"84096",256758
"84145",NA
"84167",72574
"84248",16682929
"84423",NA
"84429",21753
"84661",NA
"85068",257143
"85069",3246306
"85230",257269
"85234",73465
"85235",NA
"85236",23205
"85242",NA
"85262",257295
"85323",257352
"85372",3246307
"85431",NA
"85442",NA
"85450",257434
"85459",96672
"85485",257459
"85508",8753
"85561",NA
"85566",19877808
"85700",NA
"85701",135429828
"85743",33055
"85759",NA
"85775",257608
"85776",18074
"85779",257612
"85791",NA
"85998",NA
"86005",122727
"86078",6185
"86100",257702
"86140",74257
"86225",NA
"86354",NA
"86368",135534469
"86371",135483953
"86372",NA
"86373",NA
"86374",135488972
"86467",NA
"86714",NA
"87015",258237
"87034",258251
"87084",258293
"87086",135454065
"87112",NA
"87119",NA
"87197",NA
"87221",NA
"87222",NA
"87314",NA
"87364",258450
"87406",96710
"87413",417182
"87450",135403641
"87500",258526
"87862",85517
"87864",NA
"87868",16741
"87877",NA
"88054",258759
"88065",258769
"88104",258797
"88135",NA
"88381",258918
"88421",NA
"88468",417256
"88499",4784
"88536",28204
"88871",96758
"88903",5351906
"88915",259210
"88916",259211
"88927",417291
"88941",54606261
"88971",259241
"89074",96765
"89133",NA
"89167",9824
"89171",74395
"89172",24189419
"89201",NA
"89239",6433387
"89400",NA
"89488",259517
"89500",259528
"89602",259580
"89671",5351204
"89736",34942
"89822",135454027
"90137",259746
"90311",259766
"90318",417379
"90394",NA
"90411",259820
"90558",24189461
"90600",6332375
"90615",NA
"90616",NA
"90636",NA
"90736",135443018
"90810",260000
"90829",NA
"90862",260020
"90903",5984534
"90904",5867877
"91397",NA
"91513",NA
"91745",54606076
"92188",NA
"92207",260644
"92339",6215
"92412",NA
