,HCC44_LUNG,OACP4C_OESOPHAGUS
GO:0010884,-0.43276,-0.43486
GO:0010885,-0.56545,-0.54617
GO:0010888,0.47449,0.47449
GO:0010893,0.46694,0.46694
GO:0010906,-0.72867,-0.93268
GO:0010921,0.81029,1.1302
GO:0010927,0.44075,0.44075
GO:0010939,-0.76582,-0.55922
GO:0010941,0.24139,0.20003
GO:0010951,0.45188,0.45188
GO:0010959,-0.62861,-0.13727
GO:0010971,-0.58059,-0.58059
GO:0010972,0.30121,0.30121
GO:0010975,0.57418,0.60597
GO:0010976,0.03594,0.9011
GO:0014003,0.28633,0.45544
GO:0014013,0.49984,0.69308
GO:0014031,0.74729,1.4374
GO:0014048,-0.72313,-0.72313
GO:0014059,0.7447,0.57244
GO:0014061,0.29107,0.29107
GO:0014065,-0.76041,-0.76041
GO:0014068,-0.82293,-0.73092
GO:0014070,-1.224,-0.61674
GO:0014074,0.082697,-1.5574
GO:0014706,-0.52166,0.10698
GO:0014743,0.71288,0.57882
GO:0014823,0.35052,0.67197
GO:0014902,-0.58896,-0.43826
GO:0014911,-0.34979,-0.28458
GO:0014912,0.6638,0.6638
GO:0015031,-0.63202,-0.48362
GO:0015672,0.66455,0.47142
GO:0015695,0.42382,0.42382
GO:0015696,-0.63352,-0.9939
GO:0015701,-0.62987,-0.62987
GO:0015711,-0.63812,0.099135
GO:0015721,0.58617,0.58617
GO:0015800,0.63895,0.63895
GO:0015850,-0.36884,-0.2983
GO:0015908,0.46549,0.37902
GO:0015909,0.61296,0.55626
GO:0015914,-0.40924,-1.2114
GO:0015949,0.70249,0.70249
GO:0015980,0.32836,0.33722
GO:0016032,0.22158,-0.066669
GO:0016042,0.13123,0.28254
GO:0016049,-0.24543,-0.41231
GO:0016050,-0.61558,-0.44209
GO:0016051,0.85774,0.55646
GO:0016052,-0.47034,-0.090359
GO:0016055,0.11364,0.66472
GO:0016064,0.48452,0.36183
GO:0016070,-0.0058107,0.31786
GO:0016137,0.30947,0.30947
GO:0016192,-0.27739,-0.13197
GO:0016236,-0.59323,-0.66347
GO:0016239,-0.40944,-0.40944
GO:0016266,-0.25229,-0.25229
GO:0016310,-0.66864,-0.62886
GO:0016311,0.35713,0.50072
GO:0016331,-1.1483,-0.68471
GO:0016445,-0.39061,-0.31517
GO:0016477,0.86063,0.77098
GO:0016482,0.49901,0.49901
GO:0016485,-0.35929,-0.23951
GO:0016525,0.31986,0.25972
GO:0016540,-0.46601,-0.46601
GO:0016567,0.57186,0.24424
GO:0016570,-0.2972,-1.1786
GO:0016579,-0.092541,1.684
GO:0016925,0.62665,0.62665
GO:0016999,0.29537,0.29537
GO:0017085,0.42578,0.50588
GO:0017144,0.2771,0.35192
GO:0017148,-0.49542,-0.70761
GO:0017156,0.56374,0.56374
GO:0017157,0.55753,0.55753
GO:0018027,-0.55345,-0.47408
GO:0018105,-0.43966,-0.1382
GO:0018107,-0.34248,-0.78127
GO:0018108,-0.79332,-0.10788
GO:0018193,-0.10174,0.095655
GO:0018195,0.67518,0.67518
GO:0018205,0.64976,0.12572
GO:0018393,-0.73173,-0.7382
GO:0018394,-0.71491,-0.67416
GO:0018958,-0.54708,-0.54708
GO:0019048,-0.57433,-1.0007
GO:0019079,-0.4591,-0.36485
GO:0019216,0.27067,0.044492
GO:0019218,-0.29413,-0.51919
GO:0019219,-0.25045,0.076218
GO:0019221,0.32865,0.43411
GO:0019228,0.59877,0.59877
GO:0019233,-0.54706,-0.069657
GO:0019320,-0.51063,-0.33459
GO:0019359,-0.41331,-0.41331
GO:0019371,0.45986,0.45986
GO:0019372,0.4615,0.4615
GO:0019373,-0.58509,-0.58509
GO:0019377,-0.95934,-0.49878
GO:0019400,-0.55543,-0.55543
GO:0019433,-0.51493,-0.55013
GO:0019438,0.03928,-0.1935
GO:0019637,-0.21949,-0.12472
GO:0019674,0.58933,0.29147
GO:0019722,-0.50298,-0.62388
GO:0019730,-0.57338,-0.57338
GO:0019752,-0.13233,-0.52624
GO:0019884,-0.41591,-0.41591
GO:0019886,0.43174,0.43174
GO:0019915,0.425,0.425
GO:0019932,0.53943,0.3482
GO:0019941,0.38585,0.54258
